,text,sarcasm
1,I love working midnights tweet,1
2,I hate when I buy a bag of air and there's chips in it 😒 #not,1
3,my grandad always sounds so ill when i speak to him on the phone,0
4,"I realize I'm annoying to everyone, so I won't keep spamming you, twitter, I'll speak when spoken too",0
5,I love when I find these dudes on vine!! #FollowMe #giveaway #Xbox360 😂,1
6,Going to the dentist on my 21st??? How lucky...,1
7,"I keep my house cold like a casino. Once your inside, you get shit done. #fatigue #is #not #an #option",1
8,#Bwekillertouch #fat kwisp1179 need to speak soon as I'm a mooking our honeymoon to Mauritius so need some tips etc all the #bwilliant,0
9,"Ffs go away, I don't want to speak to you so stop trying to contact me on every fucking thing",0
10,I just love going on a long run and then coming home to spaghetti 😒 #not #fuckcarbs,1
11,Thanks...twas lovely to see you guys too! So pleased you like the pouches. Speak soon,0
12,Blowing up hannies phone right meow 😈 so many thoughts to speak!,1
13,"😋💕 absolutely beautiful! And so lovely, spoken and seen you a few times but should definitely try to speak a bit more or something x",0
15,Action speak audible than words you know akr so I rather gesture than ke bue now and not be able to convince you Bua pele,0
16,"Good! How are you too? I've always wanted to speak to foreigner!! I'm so grad. If you don't mind, shall we talk from now on?",0
17,"So apparently im not to speak to my mum anymore. Oh, alright",0
18,Im glad that other people care enough about me to know what happened better than I do.,1
19,"IDGAF , what people have to say now . bc yal say shit when im not there but when im present you dont speak tf up . so stfu and sit down .",0
20,"I love music and I love photography so to me pictures speak where words can't, music is just the ballad to my life.",0
21,"Danny Welbeck is definitely Arsenal's ""Sturridge"" #Not!",1
22,I am absolutely #not trying to fit in! #LeadLoudly #success #unstoppable,1
23,"I love these boys so much and I'd be so grateful for the opportunity to speak to them, please #Bumps5SOSFanCalls 48",1
24,Good way to end my night #not,1
25,I miss you #not,1
26,Don't you love when people cancel?😳 I do💁,1
27,Danny Welbeck has been a great signing #Arsenal,1
28,Everything you need to know about the NEW #Pinterest Analytics: #SocialMedia #Social #Media #tracking,0
29,when i speak politly to people they understand wrong so ill be rude,0
30,"I just love it when i dont have air in my car, AND my driver's side window doesnt roll down. #NOT #ITSFUCKINGHOT #POS",1
31,My most favorite view when I'm trying to get to work #grrr,1
32,"I have a quiz in an hour. Thanks ""professor"" for the vague expectations on how to prepare for it. #Not",1
33,I love getting to Navarre just in time to see an awesome waterspout! #not #iwantedtolayout #paleproblems,1
34,My favorite part about getting my oil changed is how long it takes. #iMeanTheOppositeOfWhatWasSaid,1
35,Some people just suck the fun right of sarcasm when they don't understand that you're making fun of them,1
36,Bitch at subway had hickeys on her neck... That's so attractive...#Not,1
37,And my professor told me to stay after lab today so she can speak to me 😔,1
38,I love being the first to make plans with people. #NOT,1
39,At school at 7 in the morning and there's no place I'd rather be 😃😃😃 #not,1
40,I just love working at mcdonalds so much lol I think I'm just gonna work here forever lol #work,1
41,There is so many awesome accounts that I want to speak to but I don't dare talk to them,0
42,"I'm impressed in a way that you got to speak. We got, the 'speak to me, don't speak to me' so we never knew which. Same result",0
43,My friend doesnt know how to speak to me without mentioning that she had a boyfriend thanks so much for tHROWING IT IN MY FACE 35/8 AWESOME,0
44,I'm going to live my life be who I want to be with speak and be friends with whoever I want to and you have no say so quit stressing off me.,1
45,you've done enough damage to us all. You don't speak for us so you don't sign for us. Traitor.,0
46,Everyone here is so rude to me anyway. Not to generalise a nation but you don't need to speak down to me just cause I have a thick accent 🍗�,1
47,I mean I did just say I forgot ...... so that must have meant at one point I knew how to speak 💀,1
48,God's trying to speak to US through our #dreams. They're not for everyone else to know unless He says so. So I started fasting: #Revelation.,0
49,So they should act like a d1...or its it merely marketing speak to encourge markets to turnout,0
50,I just went off so quick on this man that walked up behind to shaking my chair to speak 😡!,0
51,Haha! Silver spoon! : That'll work. care deeply about the #poor. #cdnpoli #hw #PovertyReduction,1
52,"Another DVD night, wow aren't I living the student life #bored",1
53,"He's committed a crime against society, society deserves to speak its mind but should not do so impulsively.",0
54,Glad the first floor of Potomac smells like straight vodka #not,1
55,Having to Google the meaning of at least one word per page of the book I'm reading #ThinkIAmClever #Not,1
56,I'm glad that was taken away from me after it was promised.,1
57,I absolutely love getting overdraft statements in the mail #Not,1
58,"Had a record four shots tonight. I know, I'm such a pro. tweet",1
59,by the time I finish this rhyme you ain't gonna have time to try so please young man please feel free to speak your mind,0
60,if you understand spanish i told you on english you're a fucktard so let to speak with my best friend and me bye and thanks,0
61,I love it when avocados are mushy on one side and completely unripe on the other. #eyeroll #howdoesthatevenhappenanyway,1
62,I can't wait to speak to my baby today so she can tell me how her day was,0
63,Why Pakistani media give so much importance to Altaf Hussain. All channels showing his video speech. Drunk bastard he can't even speak,0
64,i'm glad i pay almost 4 grand for this class just for the professor to read me the documents he posted on blackboard. #soworthit,1
65,Going to a study session drunk. #gotmylifetogether #not,1
66,You want to know about us? So I speak.I'm Homra. We are Homra! -Yata Misaki,0
67,ACTIONS WILL ALWAYS SPEAK TO ME SO STFU W THE BULLSHIT ✌️,0
68,I just wanna see if she gon play hard to get so I can have a reason not to speak,0
69,I just love starting out my morning with hard ass GSCI exam 😁 #somuchanger,1
70,Thanks so much great to speak to you. Stay in touch!,0
71,I love how people in my school think it's a joke that someone wants to get involved in charity. #not,1
72,Great way to end the day #not,1
74,"Hi Jacob, When are you free so need to speak with you my brother re all things discussed at launch lol! holla at me asap plse",0
